sample,type,system,date,month,year,vol,d_vol,precip,pCO2,TA,PR,BR,BR.PR,TP,TN,N.P,pH,DO,temp,chla,zeu,depth,d_depth,zeu.prof,prec_log
1,Semi-arid,Gargalheiras,10-Dec,December,2010,23227342,-2232879,39.5,608.34,2.51,31.46667,33.4,1.1,5.1,45.86667,9.266667,8.633333,8.4,27.9,21.42,2.783333,9.766667,,0.52,1.596597096
2,Semi-arid,Gargalheiras,11-Jan,January,2011,24731425,1504083,116.1,1847.3,2.32,47.33333,28.26667,0.566667,4.466667,52.7,14.03333,8.266667,7.2,26.96667,43.33,1.9,9.6,-0.2,0.236667,2.06483222
3,Semi-arid,Gargalheiras,11-Feb,February,2011,23694127,-1037298,106.8,687.07,2.48,36.46667,32.8,1.033333,2.1,34.4,16.76667,8.8,10.7,30.4,25.74,2.91,9.7,0.1,0.43,2.028571253
4,Semi-arid,Gargalheiras,11-Mar,March,2011,26374575,2680448,121.7,325.2,2.13,39.6,15.73333,0.666667,2,56.46667,26.43333,8.833333,13.5,30.2,60.9,4.6,9.766667,0.1,0.8,2.085290578
5,Semi-arid,Gargalheiras,11-Apr,April,2011,28081369,1706794,242.7,179.83,2.1,51.33333,48.9,0.966667,3.3,34.7,11.26667,8.933333,12.06667,29.2,67.25,1.7,9.733333,0,0.266667,2.385069776
6,Semi-arid,Gargalheiras,11-May,May,2011,44421480,16340111,214.1,1842.33,1.97,53.16667,41.73333,0.8,2.533333,286.0667,113.6333,7.666667,7.633333,27.46667,38.13,2.61,11.76667,2,0.276667,2.330616667
7,Semi-arid,Gargalheiras,11-Jun,June,2011,44421480,0,29.6,3714.63,2.03,64.96667,57.76667,0.866667,2.6,274.6667,105.2667,7.7,13,26.26667,53.56,2.33,11.23333,-0.5,0.253333,1.471291711
8,Semi-arid,Gargalheiras,11-Jul,July,2011,44421480,0,74,3083.03,1.85,49.06667,39.4,0.8,4.9,114.4667,23.6,7.633333,7.133333,24.86667,49.23,2.01,12.23333,1,0.22,1.86923172
9,Semi-arid,Gargalheiras,11-Aug,August,2011,43554641,-866839,4.7,685.91,1.63,120.8667,118.8667,0.966667,4.666667,80.13333,17.16667,8.266667,7.3,25.06667,59.11,1.92,12.4,0.2,0.19,0.672097858
10,Semi-arid,Gargalheiras,11-Sep,September,2011,41663354,-1891287,0,834.26,1.89,NA,NA,NA,3.4,35.8,10.46667,8.166667,9.5,24.5,82.33,1.66,12.3,-0.1,0.17,0
11,Semi-arid,Gargalheiras,11-Oct,October,2011,40087282,-1576072,2.2,69.01,1.72,27.9,42.1,1.533333,2.966667,147.5667,49.76667,9.466667,14.9,27.4,96.72,1.45,12.13333,-0.2,0.15,0.342422681
12,Semi-arid,Gargalheiras,11-Nov,November,2011,37350723,-2736559,2.62,88.23,1.82,13.46667,NA,NA,2.633333,137.2667,53.03333,9.166667,NA,27.43333,93.08,1.6,12.13333,0,0.176667,0.418301291
13,Semi-arid,Gargalheiras,11-Dec,December,2011,36706014,-644709,3.27,372.81,1.79,6,NA,NA,2.366667,132.1667,55.9,8.633333,7.9,26.66667,60.84,1.34,11.6,-0.5,0.15,0.514547753
14,Semi-arid,Gargalheiras,12-Jan,January,2012,34628620,-2077394,16.6,179.76,1.97,NA,NA,NA,2.466667,NA,NA,8.866667,8.1,26.96667,160.51,1.1,11.4,-0.2,0.126667,1.220108088
1,Semi-arid,Cruzeta,10-Dec,December,2010,8404130,-621127,39.5,1702.494922,2.126273534,31.16667,32.7,1.1,4.9,42.93333,9.033333,8,7,30.46667,18.94,1.12,3.6,,0.34,1.596597096
2,Semi-arid,Cruzeta,11-Jan,January,2011,15600966,7196836,116.1,3086.834353,1.816397989,21.86667,16.06667,0.733333,7.766667,52.86667,7,7.7,6.733333,27,18.08,0.96,4.466667,0.9,0.22,2.06483222
3,Semi-arid,Cruzeta,11-Feb,February,2011,15927674,326708,106.8,NA,1.702666667,41.2,26.13333,0.566667,0,NA,NA,NA,NA,NA,26.35,2.833333,4.6,0.1,0.696667,2.028571253
4,Semi-arid,Cruzeta,11-Mar,March,2011,17747904,1820230,121.7,98.24657097,1.455666667,39.83333,12.5,0.233333,2.133333,65.63333,31.1,9.2,15.8,32.4,65.87,1.72,5.166667,0.6,0.383333,2.085290578
5,Semi-arid,Cruzeta,11-Apr,April,2011,23545745,5797841,242.7,3369.923744,1.213515563,60.9,67.63333,1.1,4.133333,34.6,10.13333,7.4,12,30.4,24.79,1.85,5.1,-0.1,0.37,2.385069776
6,Semi-arid,Cruzeta,11-May,May,2011,23545745,0,214.1,12650.21465,1.285241448,59.05,60.25,1,1.6,206.45,129.6,6.85,9.25,27.6,25.48,2.02,6.566667,1.5,0.346667,2.330616667
7,Semi-arid,Cruzeta,11-Jun,June,2011,23545745,0,29.6,5158.503493,1.513198434,54.13333,50,0.9,1.133333,277.9667,247.4667,7.366667,13.96667,27.06667,34.49,2.67,6.666667,0.1,0.443333,1.471291711
8,Semi-arid,Cruzeta,11-Jul,July,2011,23545745,0,74,3068.277416,1.665393376,29.66667,25.33333,0.866667,1.933333,109.6,56.3,7.566667,7.7,25.7,49.4,2.29,5.366667,-1.3,0.46,1.86923172
9,Semi-arid,Cruzeta,11-Aug,August,2011,22747116,-798629,4.7,1075.835388,1.509295813,36.96667,32.3,0.9,2.066667,72.03333,34.8,7.966667,7.566667,25.4,52.52,1.96,6.433333,1.1,0.333333,0.672097858
10,Semi-arid,Cruzeta,11-Sep,September,2011,21435082,-1312034,0,6528.790385,1.726614342,NA,NA,NA,1.866667,NA,NA,7.333333,10.1,25.13333,26.69,2.15,6.633333,0.2,0.343333,0
11,Semi-arid,Cruzeta,11-Oct,October,2011,20123048,-1312034,2.2,119.9056314,1.71096546,23.33333,26,1.366667,1.3,93.13333,72.03333,8.933333,8.7,28.93333,22.53,2.31,6.1,-0.5,0.41,0.342422681
12,Semi-arid,Cruzeta,11-Nov,November,2011,18468744,-1654304,2.62,1049.253278,1.693776864,46.16667,36.2,0.8,2.033333,85.1,41.56667,8.1,7.7,27.66667,25.48,2.15,6.066667,0,0.38,0.418301291
13,Semi-arid,Cruzeta,11-Dec,December,2011,17654559,-814185,3.27,912.9853645,1.956305995,NA,NA,NA,1.066667,NA,NA,8.2,7.4,27.7,27.73,1.8,5.666667,-0.4,0.356667,0.514547753
14,Semi-arid,Cruzeta,12-Jan,January,2012,16021019,-1633540,16.6,190.2361281,2.034539513,NA,NA,NA,1.1,NA,NA,8.933333,NA,27.46667,58.72,1.5,5.266667,-0.4,0.283333,1.220108088
1,Humid,Extremoz,12-Jul,July,2012,11019525,11019525,115.9,6356.680578,1.750928102,0.77,1.2,1.72,0.48,0.14,0.29,7.3,NA,27.8,7.85,5.46,3.5,,1.56,2.064083436
2,Humid,Extremoz,12-Aug,August,2012,10691896,-327629,30.9,2484.764257,0.94256691,1,0.74,1.37,0.54,0.14,0.26,7.45,NA,28.05,6,4.27,3.5,0,1.22,1.489958479
3,Humid,Extremoz,12-Sep,September,2012,10364267,-327629,10.4,1670.551953,1.34344246,0.71,0.56,0.84,0.59,0.11,0.19,7.75,NA,28.1,4.55,3878,3.5,0,1108,1.017033339
4,Humid,Extremoz,12-Oct,October,2012,9417783,-946484,0,320.5805795,1.282666556,0.66,1.07,20.09,0.68,0.04,0.06,8.4,NA,27.75,5.2,6.3,4.5,1,1.488970588,0
5,Humid,Extremoz,12-Nov,November,2012,8655944,-761839,1.1,2351.968182,1.097232133,0.84,0.42,0.55,0.66,0.03,0.05,7.5,NA,31,4.42,4.9,2.5,-2,1.96,0.041392685
6,Humid,Extremoz,12-Dec,December,2012,7637032,-1018912,0,3618.486427,1.028868103,1.38,0.92,0.67,0.23,0.04,0.16,7.25,NA,30.05,4.55,5.32,3,0.5,1808,0
7,Humid,Extremoz,13-Jan,January,2013,6568157,-1068875,6.7,1298.146516,0.932626203,-0.93,-0.54,0.56,0.08,0.04,0.46,7.85,NA,31.2,7.02,4788,2.5,-0.5,1.9152,0.826074803
8,Humid,Extremoz,13-Feb,February,2013,6194948,-373209,61.2,24093.76381,1.498205946,5.18,5.82,1.13,0.07,0.03,0.47,6.75,NA,31.3,7.02,4.62,3.15,0.7,1.620652174,1.786751422
9,Humid,Extremoz,13-Mar,March,2013,5430421,-764527,27,406.1327345,1.131715758,0.94,1.18,1.27,0.88,0.04,0.05,8.3,NA,31.6,7.54,3262,2.65,-0.5,1.266875,1.431363764
10,Humid,Extremoz,13-Apr,April,2013,4840000,-590421,158.6,7584.599977,1.629782123,0.19,-0.09,-0.69,1.12,0.06,0.06,7.2,NA,31.4,12.09,4.06,3.1,0.4,1.390789474,2.200303183
11,Humid,Extremoz,13-May,May,2013,8723872,3883872,258.1,4252.037455,1.40514265,0.08,-0.44,-0.39,1.89,0.07,0.04,7.35,NA,30.8,16.71428571,3.36,4.3,1.2,0.785217391,2.411788005
12,Humid,Extremoz,13-Jun,June,2013,10950000,2226128,302.8,4055.590648,1.055023265,1.46,0.82,0.6,0.5,0.09,0.17,7.4,NA,26.8,10.01,5.46,5,0.7,1.091717172,2.481155871
13,Humid,Extremoz,13-Jul,July,2013,11019525,69525,289.2,3614.196315,946,-1.07,-0.49,0.49,1.46,0.05,0.03,6.8,NA,25.85,13975,4.9,4.75,-0.3,1.081818182,2.461198289
1,Humid,Bonfim,14-Sep,September,2014,54360000,-200000,171.8,1938.27533,0.058314319,,,,,1.0099,,6.29,8.41,26.63333333,0.899358974,4.46,11.66666667,,12.26666667,2.235023159
2,Humid,Bonfim,14-Oct,October,2014,53910000,-450000,42,971.0702007,0.057640073,,,,0.037735849,0.157633333,3.55895,7.063333333,8.82,27.3,0.268504274,3.666666667,9.333333333,-2.3,12,1.62324929
3,Humid,Bonfim,14-Nov,November,2014,52100000,-1810000,31,9832.728467,0.181125515,,,,0.226415094,0.159366667,0.719983968,6.493333333,16.68333333,27.72333333,0.703846154,5.6,16.42666667,7.1,13.76666667,1.491361694
4,Humid,Bonfim,14-Dec,December,2014,50910000,-1190000,23,23519.91642,0.11360215,,,,0.113207547,0.126666667,1.737369444,5.68,4.836666667,28.09333333,0.326260209,5.5,14.37333333,-2.1,13.47333333,1.361727836
5,Humid,Bonfim,15-Jan,January,2015,54140000,3230000,39.8,NA,,,,,,,,,,28.11,NA,,,,,1.599883072
6,Humid,Bonfim,15-Feb,February,2015,49490000,-4650000,71.1,4507.673661,0.145287284,,,,0.452830189,0.1272,0.313715591,6.33,5.133333333,28725,0.312820513,4.3,9.986666667,,12.33333333,1.851869601
7,Humid,Bonfim,15-Mar,March,2015,49250000,-240000,239.8,2751.393267,0.132654275,,,,1.635220126,0.124433333,0.145439571,7.136666667,5.803333333,29.04666667,0.437948718,4.783333333,13.39333333,3.4,11.71666667,2.379849179
8,Humid,Bonfim,15-Apr,April,2015,49940000,690000,47,1662.28198,0.043062557,,,,0.452830189,0.1572,0.346467424,6.48,5.65,29.14,0.656923077,4.24,11144,-2.2,11.96666667,1.672097858
9,Humid,Bonfim,15-May,May,2015,49540000,-400000,76.3,23947.26675,0.093914155,,,,,0.113666667,,6.016666667,5.63,28.94666667,0.594358974,5.85,15.49333333,4.3,16.83333333,1.882524538
10,Humid,Bonfim,15-Jun,June,2015,49490000,-50000,242.1,4747.562955,0.096984737,,,,,0.112803333,,6.136666667,4.726666667,27.83333333,0.469230769,4.2,11.2,-4.3,16.5,2.383994789
11,Humid,Bonfim,15-Jul,July,2015,51210000,1720000,309.2,9392.731586,0.094741744,,,,,0.111576667,,5.45,6.62,26.80666667,0.797692308,4.7,13.53333333,2.3,16.13333333,2.490239485
12,Humid,Bonfim,15-Aug,August,2015,51330000,120000,20.4,17635.48951,0.104848796,,,,,0.066513333,,5.596666667,5.84,26.48333333,1.400989011,5,14,0.5,13.5,1.309630167
13,Humid,Bonfim,15-Sep,September,2015,50790000,-540000,20,1232.987283,0.127959744,,,,0.245283019,0.07685,0.329042856,6.833333333,6.07,26.93333333,1.074017094,4.666666667,9.333333333,-4.7,15.5,1.301029996
14,Humid,Bonfim,15-Oct,October,2015,49780000,-1010000,9.7,11851.59794,0.100870469,,,,0.289308176,0.122066667,0.430730159,5.756666667,,26.55,1.251282051,4.516666667,12.55333333,3.2,13.46666667,0.986771734
